"sweep","stim_index_70.x","tech_rep.x","origin_stim_label","origin_wavelength","origin_stimulus_ND","stim_index_70.y","tech_rep.y","zeus_wavelength","zeus_stimulus_ND","zeus_stim_label","label_match","wavelength_match","nd_match"
62,16,2,"490 4.5","490",4.5,16,2,"490",4.5,"490 4.5",TRUE,TRUE,TRUE
63,16,3,"490 4.5","490",4.5,16,3,"490",4.5,"490 4.5",TRUE,TRUE,TRUE
64,16,4,"490 4.5","490",4.5,16,4,"490",4.5,"490 4.5",TRUE,TRUE,TRUE
65,17,1,"490 4.0","490",4,17,1,"490",4,"490 4.0",TRUE,TRUE,TRUE
66,17,2,"490 4.0","490",4,17,2,"490",4,"490 4.0",TRUE,TRUE,TRUE
67,17,3,"490 4.0","490",4,17,3,"490",4,"490 4.0",TRUE,TRUE,TRUE
68,17,4,"490 4.0","490",4,17,4,"490",4,"490 4.0",TRUE,TRUE,TRUE
69,18,1,"490 3.5","490",3.5,18,1,"490",3.5,"490 3.5",TRUE,TRUE,TRUE
70,18,2,"490 3.5","490",3.5,18,2,"490",3.5,"490 3.5",TRUE,TRUE,TRUE
71,18,3,"490 3.5","490",3.5,18,3,"490",3.5,"490 3.5",TRUE,TRUE,TRUE
72,18,4,"490 3.5","490",3.5,18,4,"490",3.5,"490 3.5",TRUE,TRUE,TRUE
73,19,1,"490 3.0","490",3,19,1,"490",3,"490 3.0",TRUE,TRUE,TRUE
74,19,2,"490 3.0","490",3,19,2,"490",3,"490 3.0",TRUE,TRUE,TRUE
75,19,3,"490 3.0","490",3,19,3,"490",3,"490 3.0",TRUE,TRUE,TRUE
76,19,4,"490 3.0","490",3,19,4,"490",3,"490 3.0",TRUE,TRUE,TRUE
77,20,1,"490 2.5","490",2.5,20,1,"490",2.5,"490 2.5",TRUE,TRUE,TRUE
78,20,2,"490 2.5","490",2.5,20,2,"490",2.5,"490 2.5",TRUE,TRUE,TRUE
79,20,3,"490 2.5","490",2.5,20,3,"490",2.5,"490 2.5",TRUE,TRUE,TRUE
80,20,4,"490 2.5","490",2.5,20,4,"490",2.5,"490 2.5",TRUE,TRUE,TRUE
81,21,1,"490 2.0","490",2,21,1,"490",2,"490 2.0",TRUE,TRUE,TRUE
82,21,2,"490 2.0","490",2,21,2,"490",2,"490 2.0",TRUE,TRUE,TRUE
83,21,3,"490 2.0","490",2,21,3,"490",2,"490 2.0",TRUE,TRUE,TRUE
84,21,4,"490 2.0","490",2,21,4,"490",2,"490 2.0",TRUE,TRUE,TRUE
85,22,1,"410 5.0","410",5,22,1,"410",5,"410 5.0",TRUE,TRUE,TRUE
86,22,2,"410 5.0","410",5,22,2,"410",5,"410 5.0",TRUE,TRUE,TRUE
87,22,3,"410 5.0","410",5,22,3,"410",5,"410 5.0",TRUE,TRUE,TRUE
88,22,4,"410 5.0","410",5,22,4,"410",5,"410 5.0",TRUE,TRUE,TRUE
89,23,1,"410 4.5","410",4.5,23,1,"410",4.5,"410 4.5",TRUE,TRUE,TRUE
90,23,2,"410 4.5","410",4.5,23,2,"410",4.5,"410 4.5",TRUE,TRUE,TRUE
91,23,3,"410 4.5","410",4.5,23,3,"410",4.5,"410 4.5",TRUE,TRUE,TRUE
92,23,4,"410 4.5","410",4.5,23,4,"410",4.5,"410 4.5",TRUE,TRUE,TRUE
93,24,1,"410 4.0","410",4,24,1,"410",4,"410 4.0",TRUE,TRUE,TRUE
94,24,2,"410 4.0","410",4,24,2,"410",4,"410 4.0",TRUE,TRUE,TRUE
95,24,3,"410 4.0","410",4,24,3,"410",4,"410 4.0",TRUE,TRUE,TRUE
96,24,4,"410 4.0","410",4,24,4,"410",4,"410 4.0",TRUE,TRUE,TRUE
97,25,1,"410 3.5","410",3.5,25,1,"410",3.5,"410 3.5",TRUE,TRUE,TRUE
98,25,2,"410 3.5","410",3.5,25,2,"410",3.5,"410 3.5",TRUE,TRUE,TRUE
99,25,3,"410 3.5","410",3.5,25,3,"410",3.5,"410 3.5",TRUE,TRUE,TRUE
100,25,4,"410 3.5","410",3.5,25,4,"410",3.5,"410 3.5",TRUE,TRUE,TRUE
101,26,1,"410 3.0","410",3,26,1,"410",3,"410 3.0",TRUE,TRUE,TRUE
102,26,2,"410 3.0","410",3,26,2,"410",3,"410 3.0",TRUE,TRUE,TRUE
103,26,3,"410 3.0","410",3,26,3,"410",3,"410 3.0",TRUE,TRUE,TRUE
104,26,4,"410 3.0","410",3,26,4,"410",3,"410 3.0",TRUE,TRUE,TRUE
105,27,1,"410 2.5","410",2.5,27,1,"410",2.5,"410 2.5",TRUE,TRUE,TRUE
106,27,2,"410 2.5","410",2.5,27,2,"410",2.5,"410 2.5",TRUE,TRUE,TRUE
107,27,3,"410 2.5","410",2.5,27,3,"410",2.5,"410 2.5",TRUE,TRUE,TRUE
108,27,4,"410 2.5","410",2.5,27,4,"410",2.5,"410 2.5",TRUE,TRUE,TRUE
109,28,1,"410 2.0","410",2,28,1,"410",2,"410 2.0",TRUE,TRUE,TRUE
110,28,2,"410 2.0","410",2,28,2,"410",2,"410 2.0",TRUE,TRUE,TRUE
111,28,3,"410 2.0","410",2,28,3,"410",2,"410 2.0",TRUE,TRUE,TRUE
112,28,4,"410 2.0","410",2,28,4,"410",2,"410 2.0",TRUE,TRUE,TRUE
113,29,1,"330 4.0","330",4,29,1,"330",4,"330 4.0",TRUE,TRUE,TRUE
114,29,2,"330 4.0","330",4,29,2,"330",4,"330 4.0",TRUE,TRUE,TRUE
115,29,3,"330 4.0","330",4,29,3,"330",4,"330 4.0",TRUE,TRUE,TRUE
116,29,4,"330 4.0","330",4,29,4,"330",4,"330 4.0",TRUE,TRUE,TRUE
117,30,1,"330 3.5","330",3.5,30,1,"330",3.5,"330 3.5",TRUE,TRUE,TRUE
118,30,2,"330 3.5","330",3.5,30,2,"330",3.5,"330 3.5",TRUE,TRUE,TRUE
119,30,3,"330 3.5","330",3.5,30,3,"330",3.5,"330 3.5",TRUE,TRUE,TRUE
120,30,4,"330 3.5","330",3.5,30,4,"330",3.5,"330 3.5",TRUE,TRUE,TRUE
121,31,1,"330 3.0","330",3,31,1,"330",3,"330 3.0",TRUE,TRUE,TRUE
122,31,2,"330 3.0","330",3,31,2,"330",3,"330 3.0",TRUE,TRUE,TRUE
123,31,3,"330 3.0","330",3,31,3,"330",3,"330 3.0",TRUE,TRUE,TRUE
124,31,4,"330 3.0","330",3,31,4,"330",3,"330 3.0",TRUE,TRUE,TRUE
125,32,1,"330 2.5","330",2.5,32,1,"330",2.5,"330 2.5",TRUE,TRUE,TRUE
126,32,2,"330 2.5","330",2.5,32,2,"330",2.5,"330 2.5",TRUE,TRUE,TRUE
127,32,3,"330 2.5","330",2.5,32,3,"330",2.5,"330 2.5",TRUE,TRUE,TRUE
128,32,4,"330 2.5","330",2.5,32,4,"330",2.5,"330 2.5",TRUE,TRUE,TRUE
129,33,1,"330 2.0","330",2,33,1,"330",2,"330 2.0",TRUE,TRUE,TRUE
130,33,2,"330 2.0","330",2,33,2,"330",2,"330 2.0",TRUE,TRUE,TRUE
131,33,3,"330 2.0","330",2,33,3,"330",2,"330 2.0",TRUE,TRUE,TRUE
132,33,4,"330 2.0","330",2,33,4,"330",2,"330 2.0",TRUE,TRUE,TRUE
133,34,1,"330 1.5","330",1.5,34,1,"330",1.5,"330 1.5",TRUE,TRUE,TRUE
134,34,2,"330 1.5","330",1.5,34,2,"330",1.5,"330 1.5",TRUE,TRUE,TRUE
135,34,3,"330 1.5","330",1.5,34,3,"330",1.5,"330 1.5",TRUE,TRUE,TRUE
136,34,4,"330 1.5","330",1.5,34,4,"330",1.5,"330 1.5",TRUE,TRUE,TRUE
137,35,1,"330 1.0","330",1,35,1,"330",1,"330 1.0",TRUE,TRUE,TRUE
138,35,2,"330 1.0","330",1,35,2,"330",1,"330 1.0",TRUE,TRUE,TRUE
139,35,3,"330 1.0","330",1,35,3,"330",1,"330 1.0",TRUE,TRUE,TRUE
140,35,4,"330 1.0","330",1,35,4,"330",1,"330 1.0",TRUE,TRUE,TRUE
141,36,1,"650B 4.5","650",4.5,36,1,"650",4.5,"650B 4.5",TRUE,TRUE,TRUE
142,36,2,"650B 4.5","650",4.5,36,2,"650",4.5,"650B 4.5",TRUE,TRUE,TRUE
143,36,3,"650B 4.5","650",4.5,36,3,"650",4.5,"650B 4.5",TRUE,TRUE,TRUE
144,36,4,"650B 4.5","650",4.5,36,4,"650",4.5,"650B 4.5",TRUE,TRUE,TRUE
145,37,1,"650B 4.0","650",4,37,1,"650",4,"650B 4.0",TRUE,TRUE,TRUE
146,37,2,"650B 4.0","650",4,37,2,"650",4,"650B 4.0",TRUE,TRUE,TRUE
147,37,3,"650B 4.0","650",4,37,3,"650",4,"650B 4.0",TRUE,TRUE,TRUE
148,37,4,"650B 4.0","650",4,37,4,"650",4,"650B 4.0",TRUE,TRUE,TRUE
149,38,1,"650B 3.5","650",3.5,38,1,"650",3.5,"650B 3.5",TRUE,TRUE,TRUE
150,38,2,"650B 3.5","650",3.5,38,2,"650",3.5,"650B 3.5",TRUE,TRUE,TRUE
151,38,3,"650B 3.5","650",3.5,38,3,"650",3.5,"650B 3.5",TRUE,TRUE,TRUE
152,38,4,"650B 3.5","650",3.5,38,4,"650",3.5,"650B 3.5",TRUE,TRUE,TRUE
153,39,1,"650B 3.0","650",3,39,1,"650",3,"650B 3.0",TRUE,TRUE,TRUE
154,39,2,"650B 3.0","650",3,39,2,"650",3,"650B 3.0",TRUE,TRUE,TRUE
155,39,3,"650B 3.0","650",3,39,3,"650",3,"650B 3.0",TRUE,TRUE,TRUE
156,39,4,"650B 3.0","650",3,39,4,"650",3,"650B 3.0",TRUE,TRUE,TRUE
157,40,1,"650B 2.5","650",2.5,40,1,"650",2.5,"650B 2.5",TRUE,TRUE,TRUE
158,40,2,"650B 2.5","650",2.5,40,2,"650",2.5,"650B 2.5",TRUE,TRUE,TRUE
159,40,3,"650B 2.5","650",2.5,40,3,"650",2.5,"650B 2.5",TRUE,TRUE,TRUE
160,40,4,"650B 2.5","650",2.5,40,4,"650",2.5,"650B 2.5",TRUE,TRUE,TRUE
161,41,1,"650B 2.0","650",2,41,1,"650",2,"650B 2.0",TRUE,TRUE,TRUE
162,41,2,"650B 2.0","650",2,41,2,"650",2,"650B 2.0",TRUE,TRUE,TRUE
163,41,3,"650B 2.0","650",2,41,3,"650",2,"650B 2.0",TRUE,TRUE,TRUE
164,41,4,"650B 2.0","650",2,41,4,"650",2,"650B 2.0",TRUE,TRUE,TRUE
165,42,1,"650B 1.5","650",1.5,42,1,"650",1.5,"650B 1.5",TRUE,TRUE,TRUE
166,42,2,"650B 1.5","650",1.5,42,2,"650",1.5,"650B 1.5",TRUE,TRUE,TRUE
167,42,3,"650B 1.5","650",1.5,42,3,"650",1.5,"650B 1.5",TRUE,TRUE,TRUE
168,42,4,"650B 1.5","650",1.5,42,4,"650",1.5,"650B 1.5",TRUE,TRUE,TRUE
169,43,1,"610 5.0","610",5,43,1,"610",5,"610 5.0",TRUE,TRUE,TRUE
170,43,2,"610 5.0","610",5,43,2,"610",5,"610 5.0",TRUE,TRUE,TRUE
