"sweep","stim_index_70.x","tech_rep.x","origin_stim_label","origin_wavelength","origin_stimulus_ND","stim_index_70.y","tech_rep.y","zeus_wavelength","zeus_stimulus_ND","zeus_stim_label","label_match","wavelength_match","nd_match"
262,66,2,"370 4.0","370",4,66,2,"370",4,"370 4.0",TRUE,TRUE,TRUE
263,66,3,"370 4.0","370",4,66,3,"370",4,"370 4.0",TRUE,TRUE,TRUE
264,66,4,"370 4.0","370",4,66,4,"370",4,"370 4.0",TRUE,TRUE,TRUE
265,67,1,"370 3.5","370",3.5,67,1,"370",3.5,"370 3.5",TRUE,TRUE,TRUE
266,67,2,"370 3.5","370",3.5,67,2,"370",3.5,"370 3.5",TRUE,TRUE,TRUE
267,67,3,"370 3.5","370",3.5,67,3,"370",3.5,"370 3.5",TRUE,TRUE,TRUE
268,67,4,"370 3.5","370",3.5,67,4,"370",3.5,"370 3.5",TRUE,TRUE,TRUE
269,68,1,"370 3.0","370",3,68,1,"370",3,"370 3.0",TRUE,TRUE,TRUE
270,68,2,"370 3.0","370",3,68,2,"370",3,"370 3.0",TRUE,TRUE,TRUE
271,68,3,"370 3.0","370",3,68,3,"370",3,"370 3.0",TRUE,TRUE,TRUE
272,68,4,"370 3.0","370",3,68,4,"370",3,"370 3.0",TRUE,TRUE,TRUE
273,69,1,"370 2.5","370",2.5,69,1,"370",2.5,"370 2.5",TRUE,TRUE,TRUE
274,69,2,"370 2.5","370",2.5,69,2,"370",2.5,"370 2.5",TRUE,TRUE,TRUE
275,69,3,"370 2.5","370",2.5,69,3,"370",2.5,"370 2.5",TRUE,TRUE,TRUE
276,69,4,"370 2.5","370",2.5,69,4,"370",2.5,"370 2.5",TRUE,TRUE,TRUE
277,70,1,"370 2.0","370",2,70,1,"370",2,"370 2.0",TRUE,TRUE,TRUE
278,70,2,"370 2.0","370",2,70,2,"370",2,"370 2.0",TRUE,TRUE,TRUE
279,70,3,"370 2.0","370",2,70,3,"370",2,"370 2.0",TRUE,TRUE,TRUE
280,70,4,"370 2.0","370",2,70,4,"370",2,"370 2.0",TRUE,TRUE,TRUE
