"sweep","stim_index_70","tech_rep","wavelength","stimulus_ND","stim_label"
52,13,4,"570",2.5,"570 2.5"
53,14,1,"570",2,"570 2.0"
54,14,2,"570",2,"570 2.0"
55,14,3,"570",2,"570 2.0"
56,14,4,"570",2,"570 2.0"
57,15,1,"490",5,"490 5.0"
58,15,2,"490",5,"490 5.0"
59,15,3,"490",5,"490 5.0"
60,15,4,"490",5,"490 5.0"
61,16,1,"490",4.5,"490 4.5"
62,16,2,"490",4.5,"490 4.5"
63,16,3,"490",4.5,"490 4.5"
64,16,4,"490",4.5,"490 4.5"
65,17,1,"490",4,"490 4.0"
66,17,2,"490",4,"490 4.0"
67,17,3,"490",4,"490 4.0"
68,17,4,"490",4,"490 4.0"
69,18,1,"490",3.5,"490 3.5"
70,18,2,"490",3.5,"490 3.5"
71,18,3,"490",3.5,"490 3.5"
72,18,4,"490",3.5,"490 3.5"
73,19,1,"490",3,"490 3.0"
74,19,2,"490",3,"490 3.0"
75,19,3,"490",3,"490 3.0"
76,19,4,"490",3,"490 3.0"
77,20,1,"490",2.5,"490 2.5"
78,20,2,"490",2.5,"490 2.5"
79,20,3,"490",2.5,"490 2.5"
80,20,4,"490",2.5,"490 2.5"
81,21,1,"490",2,"490 2.0"
82,21,2,"490",2,"490 2.0"
83,21,3,"490",2,"490 2.0"
84,21,4,"490",2,"490 2.0"
85,22,1,"410",5,"410 5.0"
86,22,2,"410",5,"410 5.0"
87,22,3,"410",5,"410 5.0"
88,22,4,"410",5,"410 5.0"
89,23,1,"410",4.5,"410 4.5"
90,23,2,"410",4.5,"410 4.5"
91,23,3,"410",4.5,"410 4.5"
92,23,4,"410",4.5,"410 4.5"
93,24,1,"410",4,"410 4.0"
94,24,2,"410",4,"410 4.0"
95,24,3,"410",4,"410 4.0"
96,24,4,"410",4,"410 4.0"
97,25,1,"410",3.5,"410 3.5"
98,25,2,"410",3.5,"410 3.5"
99,25,3,"410",3.5,"410 3.5"
100,25,4,"410",3.5,"410 3.5"
101,26,1,"410",3,"410 3.0"
102,26,2,"410",3,"410 3.0"
103,26,3,"410",3,"410 3.0"
104,26,4,"410",3,"410 3.0"
105,27,1,"410",2.5,"410 2.5"
106,27,2,"410",2.5,"410 2.5"
107,27,3,"410",2.5,"410 2.5"
108,27,4,"410",2.5,"410 2.5"
109,28,1,"410",2,"410 2.0"
110,28,2,"410",2,"410 2.0"
111,28,3,"410",2,"410 2.0"
112,28,4,"410",2,"410 2.0"
113,29,1,"330",4,"330 4.0"
114,29,2,"330",4,"330 4.0"
115,29,3,"330",4,"330 4.0"
116,29,4,"330",4,"330 4.0"
117,30,1,"330",3.5,"330 3.5"
118,30,2,"330",3.5,"330 3.5"
119,30,3,"330",3.5,"330 3.5"
120,30,4,"330",3.5,"330 3.5"
121,31,1,"330",3,"330 3.0"
122,31,2,"330",3,"330 3.0"
123,31,3,"330",3,"330 3.0"
124,31,4,"330",3,"330 3.0"
125,32,1,"330",2.5,"330 2.5"
126,32,2,"330",2.5,"330 2.5"
127,32,3,"330",2.5,"330 2.5"
128,32,4,"330",2.5,"330 2.5"
129,33,1,"330",2,"330 2.0"
130,33,2,"330",2,"330 2.0"
131,33,3,"330",2,"330 2.0"
132,33,4,"330",2,"330 2.0"
