"stim_label","n_points","mean_diff","mean_abs_diff","rmse","max_abs_diff","cor_value"
"370 5.0",3485,-0.0233755491099248,1.65269892991153,2.07941278505322,7.77523001013668,0.969907845202741
"370 2.5",3485,-0.00753066712070451,1.66347148729391,2.08121992557158,7.44722308595447,0.954752028626291
"450 3.0",3485,-0.0241506746292598,1.71914091084619,2.15991412901668,7.57994900385927,0.905530066744603
"450 2.5",3485,0.0634231118421831,1.7302284022839,2.16393630418258,7.94279398460868,0.983607520839649
"370 2.0",3485,-0.0135437996923209,1.74775175904447,2.20440057983676,8.64862547382539,0.987141609766617
"610 3.0",3485,0.0467675380027493,1.7631352479073,2.21295305663439,9.75979347952224,0.93336991745658
"610 2.0",3485,0.0600823530799796,1.76616734761189,2.20721137024873,7.67928766551276,0.995028428272464
"450 2.0",3485,-0.0353366520227373,1.7757926397918,2.22531663599107,7.77707692267748,0.997320011997485
"530 2.0",3485,-0.0305913115029701,1.79710359265842,2.25172584920237,7.2766120714374,0.996855698996906
"650B 2.0",3485,-0.0134955242541736,1.79939670578531,2.25476674385712,7.27851414147172,0.89799823456478
"410 4.0",3485,0.0577237362783889,1.80120385353878,2.25993367637358,9.34842528362552,0.930960870643664
"410 3.5",3485,0.0256254970668634,1.8091031761076,2.27517364574568,8.74075240115212,0.917940683429799
"490 3.0",3485,0.00257109444313827,1.83896192738547,2.31265534052434,9.09138708997033,0.983087120916125
"490 2.5",3485,0.00981226890189891,1.85246254573446,2.35298345401192,9.88727677534021,0.995362745762961
"410 3.0",3485,-0.0481898634410337,1.85374657493193,2.30315586199021,8.2071111704195,0.886274517576928
"570 2.0",3485,-0.0295240801339458,1.87733907555149,2.35450591982199,8.78100543627203,0.995338613242793
"410 2.0",3485,0.0586186907919357,1.90056673004077,2.37772907886894,10.085641043421,0.996449549498795
"490 2.0",3485,-0.0144527887863393,1.91268629511606,2.40420359424603,9.64253170302618,0.998226760223822
"650A 1.0",3485,-0.0257687673405461,1.9129651196038,2.4031545973715,8.15218363464414,0.994060542706824
"410 2.5",3485,-0.0053005400385742,1.91324700932226,2.37339504207234,9.22618000886291,0.9007150999389
"330 2.0",3485,-0.556840071323678,2.17214843765388,2.73341813691791,9.95192017569957,0.658460182244255
"330 2.5",3485,-0.166876734268083,2.36540371445457,2.97576816317321,12.3334103366691,0.698568146081195
"530 4.5",3485,-0.693175407850301,2.45680176298112,3.06116077156616,10.6287911007013,0.652952755855206
"490 4.0",3485,-1.6730290380173,3.19385873808672,4.13514494552923,15.9359456679809,0.586881313480596
"650B 3.5",3485,-0.0626026241183708,3.45521584527138,4.28975345708032,14.5680178086885,0.405351158470252
"490 5.0",3485,-1.09042296593934,3.48344817871557,4.62032625902144,16.4912303346872,-0.0530256919282133
"610 5.0",3485,-1.84161135034161,3.71145479006785,4.7679023581847,17.0046555294462,0.632440982194819
"650A 2.0",3485,2.17307333849962,3.75901250680295,4.87776204431461,16.6442917135362,0.839143325412462
"570 4.5",3485,2.20572899437579,3.89905134953985,4.69845611342704,13.2634966876366,0.869469346165786
"490 4.5",3485,2.99565273999374,4.20760668760126,4.89131987035049,13.6750804171325,0.979136697534764
"570 3.5",3485,2.95593090733936,4.3777211042078,5.21831821083282,14.0273142379699,0.606258233023741
"650B 2.5",3485,2.67785558261551,4.51531466864271,5.39359422864033,15.2124686928247,0.641188891352455
"530 5.0",3485,1.86972760195384,4.5832952630352,5.86522706107877,20.0883689616214,0.748553471305442
"370 3.5",3485,-2.50784762003871,4.88695124191771,5.74182065387002,16.0789821333887,0.704685893148765
"330 3.5",3485,-3.90346730985934,4.88807194533987,5.84262297840736,14.9898839720459,0.331606433332943
"410 4.5",3485,2.44506790956616,5.66143077649215,7.53434291358733,22.1314100909552,0.883239022796716
"330 4.0",3485,4.89818913132115,6.18190215995211,7.17705130130848,16.4720463816125,0.917345132825263
"330 1.5",3485,-5.53614102150109,6.34344537087075,7.83010830362161,21.9772378177462,0.906281032378284
"610 4.5",3485,-5.11771910218624,6.44857509677359,7.47812993573488,17.6982052077359,0.913267733709173
"570 4.0",3485,5.9835397023357,6.68486073850463,8.09098250928999,21.2440525178662,0.386181302866866
"530 3.0",3485,5.76918899518945,7.05342861364724,8.52913106991955,19.9499882592159,0.724860530083786
"650B 3.0",3485,-5.64491568123034,7.21489698754955,8.03031737220861,18.316676357734,-0.0670849766681929
"450 4.0",3485,-4.94831829353095,7.45386045223787,8.20778412928846,17.9874788596179,-0.127766855236868
"570 3.0",3485,6.90701778441867,7.95044314602041,9.46545675344502,20.9834772347804,0.433779873520743
"450 5.0",3485,-7.85680995487879,8.26072643761858,10.6546007479499,25.3367953684123,0.330912449728303
"650B 4.5",3485,6.98399732202017,8.27177013492305,10.1287278109974,23.5538506725261,-0.308005063469633
"490 3.5",3485,9.00269554073931,9.93683837486434,12.9612207575219,32.896214951597,0.0121501619950578
"530 3.5",3485,8.79755997561668,10.0852604776297,11.928974739699,27.229493554398,0.5318552263024
"650A 3.5",3485,9.23549000607717,10.2422978230975,12.8581663646093,30.2817816304702,-0.182021904532095
"370 3.0",3485,9.73787560128209,10.2737580162568,13.3509599757852,31.5551420329036,0.532564402162468
"530 4.0",3485,-8.90760083292263,10.3168500052737,11.6864151985789,24.324179868879,0.92163227688112
"650A 2.5",3485,9.65062631276307,10.477753947927,13.7604404355303,37.3264700566433,-0.083976285969327
"450 3.5",3485,-9.21076545934591,10.6634603397974,12.3187890440172,24.652154665651,0.0831718516006922
"450 4.5",3485,-9.12363612330553,10.7997913461644,12.5670223545419,26.4077965671281,0.722529905520786
"570 5.0",3485,-10.5354427972001,12.0121182324528,14.1652247507259,29.1910063227363,-0.524133841169693
"330 3.0",3485,11.2450300803418,12.0199512499719,15.1315052635393,33.4119827696658,0.274835892523543
"570 2.5",3485,11.7147799290428,12.9401823314144,15.5850482560466,33.0474349801212,0.800860359051142
"610 2.5",3485,13.1057602005605,14.4693489085995,17.8173688993631,38.2310837150842,-0.523519195894861
"330 1.0",3485,13.5780781979495,15.0393402713125,17.87012602081,35.0497419288626,-0.224152639406928
"650A 1.5",3485,13.4685106354753,15.1294061000643,17.8536937859333,35.179353621097,0.136402476027656
"410 5.0",3485,-14.522997629146,15.6040025648501,20.0577714061442,48.2028953663002,-0.507206155484929
"610 3.5",3485,13.0125511894708,15.9324547265193,17.8257196930495,32.0138605072389,0.736504332490848
"650B 4.0",3485,14.516827702378,16.1043666256655,19.3173158571929,40.28789584001,0.818398657902552
"370 4.5",3485,-16.0511912677896,17.4418555541065,20.6074790690941,38.6783932043558,-0.777812113392731
"370 4.0",3485,16.0650021652818,17.6273662136546,21.197237575099,43.2870367952758,-0.620111609919229
"530 2.5",3485,15.7158435720165,18.1760652574125,20.6064678675019,35.3890446408975,0.665809271005675
"610 4.0",3485,-19.3553674475761,19.8073982535,25.5986282695381,57.8017275507808,-0.652488591800658
"650A 3.0",3485,-19.5837597517783,21.0312032267485,25.901572091734,52.6595906808882,-0.81171621249365
"650A 4.0",3485,21.7343368621267,24.1070201039249,29.7072872263159,58.5246482487651,-0.889868840282986
"650B 1.5",3485,-43.24451447641,44.8143925967336,53.5135699460659,88.0498242317145,-0.337131677840223
